Date&Time,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2007-04-09,52201.0,52798.0,50300.02,51399.99,14835
2007-04-16,51880.0,58475.0,50531.0,53500.0,83146
2007-04-23,54199.0,54200.0,48200.0,49100.0,25809
2007-04-30,49495.0,50499.0,48999.97,49999.97,6621
2007-05-07,49890.0,50197.0,45116.12,46750.0,7650
2007-05-14,47005.0,48100.0,45020.0,46200.0,11753
2007-05-21,46599.0,46949.0,41251.02,41539.0,24656
2007-05-28,41799.98,41899.99,38400.0,40500.0,32027
2007-06-04,40500.0,40500.0,35809.0,37300.0,18525
2007-06-11,37495.0,42333.0,36600.0,41150.0,22920
2007-06-18,41786.0,44000.0,41151.0,42750.0,34806
2007-06-25,42221.0,43350.0,41859.0,42800.0,17234
2007-07-02,42601.01,43650.0,41990.0,42150.0,13263
2007-07-09,42430.0,45350.0,40603.0,44550.0,33205
2007-07-16,44700.0,51111.11,43801.01,49035.0,62864
2007-07-23,49270.05,49989.0,44000.01,46887.8,35310
2007-07-30,46400.0,47419.0,45505.0,46099.99,22141
2007-08-06,45100.01,46800.0,43500.0,43725.0,14821
2007-08-13,44325.0,45000.0,39221.0,41300.01,21435
2007-08-20,41850.0,42100.0,39350.0,39590.0,15099
2007-08-27,40100.0,40250.0,37800.0,38235.01,23956
2007-09-03,38750.0,41670.0,37950.0,40000.0,45540
2007-09-10,39859.0,42497.98,39410.0,41849.0,33085
2007-09-17,41400.0,42929.0,41400.0,41850.0,26505
2007-09-24,41802.0,45917.0,41515.14,45150.0,37365
2007-10-01,44660.0,47987.0,43790.0,47175.0,44078
2007-10-08,47611.0,49799.0,45419.0,46000.0,55768
2007-10-15,46385.0,46700.0,43389.93,43947.97,27068
2007-10-22,43205.0,45200.0,42553.0,45100.0,30210
2007-10-29,45675.0,49000.0,45600.0,47800.03,72281
2007-11-05,48050.0,52777.0,47807.01,48655.0,79081
2007-11-12,48408.0,49838.98,46475.0,47550.0,63778
2007-11-19,47888.0,48299.98,44512.05,44899.0,43191
2007-11-26,45495.0,47000.0,44000.0,46400.0,38205
2007-12-03,46400.0,48099.0,45555.0,47389.0,37308
2007-12-10,47002.0,52689.0,46800.0,49500.0,110407
2007-12-17,48987.0,50510.0,48510.0,49800.0,39592
2007-12-24,49900.0,50350.0,48501.0,48800.0,27234
2008-01-07,48890.0,49800.0,48201.0,48939.0,18029
2008-01-14,49200.0,49200.0,45030.0,46980.0,27682
2008-01-21,46000.0,46198.88,37220.0,41401.0,31021
2008-01-28,39800.0,43400.0,39330.0,42700.0,22673
2008-02-04,43450.0,44575.97,38500.0,39000.0,31761
2008-02-11,39550.0,43000.0,38740.0,40000.0,40558
